    i    j    x    y    z
    1    1    -7.00    -7.00    -0.11
    1    2    -7.00    -6.00    -0.77
    1    3    -7.00    -5.00    0.11
    1    4    -7.00    -4.00    1.36
    1    5    -7.00    -3.00    0.65
    1    6    -7.00    -2.00    -1.14
    1    7    -7.00    -1.00    -1.07
    1    8    -7.00    0.00    0.68
    1    9    -7.00    1.00    0.92
    1    10    -7.00    2.00    -0.86
    1    11    -7.00    3.00    -1.31
    1    12    -7.00    4.00    0.80
    1    13    -7.00    5.00    1.99
    1    14    -7.00    6.00    0.05
    1    15    -7.00    7.00    -1.87
    2    1    -6.00    -7.00    -0.15
    2    2    -6.00    -6.00    0.84
    2    3    -6.00    -5.00    1.30
    2    4    -6.00    -4.00    1.21
    2    5    -6.00    -3.00    0.23
    2    6    -6.00    -2.00    -1.00
    2    7    -6.00    -1.00    -1.03
    2    8    -6.00    0.00    0.00
    2    9    -6.00    1.00    0.23
    2    10    -6.00    2.00    -0.82
    2    11    -6.00    3.00    -1.01
    2    12    -6.00    4.00    0.85
    2    13    -6.00    5.00    2.49
    2    14    -6.00    6.00    1.36
    2    15    -6.00    7.00    -1.26
    3    1    -5.00    -7.00    0.53
    3    2    -5.00    -6.00    1.15
    3    3    -5.00    -5.00    0.68
    3    4    -5.00    -4.00    -0.51
    3    5    -5.00    -3.00    -1.09
    3    6    -5.00    -2.00    -0.42
    3    7    -5.00    -1.00    0.59
    3    8    -5.00    0.00    0.78
    3    9    -5.00    1.00    0.17
    3    10    -5.00    2.00    -0.48
    3    11    -5.00    3.00    -0.68
    3    12    -5.00    4.00    -0.39
    3    13    -5.00    5.00    0.29
    3    14    -5.00    6.00    0.98
    3    15    -5.00    7.00    0.90
    4    1    -4.00    -7.00    0.15
    4    2    -4.00    -6.00    0.02
    4    3    -4.00    -5.00    -0.64
    4    4    -4.00    -4.00    -2.08
    4    5    -4.00    -3.00    -2.06
    4    6    -4.00    -2.00    0.25
    4    7    -4.00    -1.00    2.27
    4    8    -4.00    0.00    1.88
    4    9    -4.00    1.00    0.48
    4    10    -4.00    2.00    -0.01
    4    11    -4.00    3.00    -0.31
    4    12    -4.00    4.00    -1.58
    4    13    -4.00    5.00    -2.32
    4    14    -4.00    6.00    -0.72
    4    15    -4.00    7.00    1.73
    5    1    -3.00    -7.00    -1.16
    5    2    -3.00    -6.00    -0.86
    5    3    -3.00    -5.00    -0.79
    5    4    -3.00    -4.00    -1.64
    5    5    -3.00    -3.00    -1.46
    5    6    -3.00    -2.00    0.61
    5    7    -3.00    -1.00    2.25
    5    8    -3.00    0.00    1.69
    5    9    -3.00    1.00    0.45
    5    10    -3.00    2.00    0.35
    5    11    -3.00    3.00    0.31
    5    12    -3.00    4.00    -1.13
    5    13    -3.00    5.00    -2.48
    5    14    -3.00    6.00    -1.61
    5    15    -3.00    7.00    0.43
    6    1    -2.00    -7.00    -1.24
    6    2    -2.00    -6.00    -0.39
    6    3    -2.00    -5.00    0.28
    6    4    -2.00    -4.00    0.39
    6    5    -2.00    -3.00    0.40
    6    6    -2.00    -2.00    0.64
    6    7    -2.00    -1.00    0.75
    6    8    -2.00    0.00    0.48
    6    9    -2.00    1.00    0.30
    6    10    -2.00    2.00    0.58
    6    11    -2.00    3.00    0.84
    6    12    -2.00    4.00    0.52
    6    13    -2.00    5.00    -0.15
    6    14    -2.00    6.00    -0.58
    6    15    -2.00    7.00    -0.84
    7    1    -1.00    -7.00    0.54
    7    2    -1.00    -6.00    0.58
    7    3    -1.00    -5.00    0.86
    7    4    -1.00    -4.00    1.78
    7    5    -1.00    -3.00    1.92
    7    6    -1.00    -2.00    0.67
    7    7    -1.00    -1.00    -0.38
    7    8    -1.00    0.00    0.04
    7    9    -1.00    1.00    0.86
    7    10    -1.00    2.00    0.85
    7    11    -1.00    3.00    0.70
    7    12    -1.00    4.00    1.43
    7    13    -1.00    5.00    2.03
    7    14    -1.00    6.00    1.09
    7    15    -1.00    7.00    -0.56
    8    1    0.00    -7.00    1.88
    8    2    0.00    -6.00    0.59
    8    3    0.00    -5.00    0.06
    8    4    0.00    -4.00    1.28
    8    5    0.00    -3.00    1.98
    8    6    0.00    -2.00    0.86
    8    7    0.00    -1.00    0.00
    8    8    0.00    0.00    1.00
    8    9    0.00    1.00    2.00
    8    10    0.00    2.00    1.14
    8    11    0.00    3.00    0.02
    8    12    0.00    4.00    0.72
    8    13    0.00    5.00    1.94
    8    14    0.00    6.00    1.41
    8    15    0.00    7.00    0.12
    9    1    1.00    -7.00    0.90
    9    2    1.00    -6.00    -0.37
    9    3    1.00    -5.00    -0.95
    9    4    1.00    -4.00    -0.04
    9    5    1.00    -3.00    0.95
    9    6    1.00    -2.00    1.00
    9    7    1.00    -1.00    1.10
    9    8    1.00    0.00    1.96
    9    9    1.00    1.00    2.34
    9    10    1.00    2.00    1.17
    9    11    1.00    3.00    -0.27
    9    12    1.00    4.00    -0.38
    9    13    1.00    5.00    0.22
    9    14    1.00    6.00    0.15
    9    15    1.00    7.00    -0.20
    10    1    2.00    -7.00    -1.05
    10    2    2.00    -6.00    -0.90
    10    3    2.00    -5.00    -0.69
    10    4    2.00    -4.00    -0.58
    10    5    2.00    -3.00    -0.12
    10    6    2.00    -2.00    0.82
    10    7    2.00    -1.00    1.54
    10    8    2.00    0.00    1.52
    10    9    2.00    1.00    1.09
    10    10    2.00    2.00    0.75
    10    11    2.00    3.00    0.32
    10    12    2.00    4.00    -0.45
    10    13    2.00    5.00    -1.11
    10    14    2.00    6.00    -1.08
    10    15    2.00    7.00    -0.65
    11    1    3.00    -7.00    -1.41
    11    2    3.00    -6.00    -0.19
    11    3    3.00    -5.00    0.50
    11    4    3.00    -4.00    -0.34
    11    5    3.00    -3.00    -0.76
    11    6    3.00    -2.00    0.37
    11    7    3.00    -1.00    1.20
    11    8    3.00    0.00    0.31
    11    9    3.00    1.00    -0.60
    11    10    3.00    2.00    0.12
    11    11    3.00    3.00    1.00
    11    12    3.00    4.00    0.16
    11    13    3.00    5.00    -1.19
    11    14    3.00    6.00    -0.93
    11    15    3.00    7.00    0.18
    12    1    4.00    -7.00    -0.18
    12    2    4.00    -6.00    0.89
    12    3    4.00    -5.00    1.01
    12    4    4.00    -4.00    -0.42
    12    5    4.00    -3.00    -1.17
    12    6    4.00    -2.00    -0.05
    12    7    4.00    -1.00    0.92
    12    8    4.00    0.00    0.12
    12    9    4.00    1.00    -0.87
    12    10    4.00    2.00    -0.31
    12    11    4.00    3.00    0.59
    12    12    4.00    4.00    0.08
    12    13    4.00    5.00    -0.67
    12    14    4.00    6.00    0.15
    12    15    4.00    7.00    1.40
    13    1    5.00    -7.00    0.61
    13    2    5.00    -6.00    0.94
    13    3    5.00    -5.00    0.28
    13    4    5.00    -4.00    -0.92
    13    5    5.00    -3.00    -1.30
    13    6    5.00    -2.00    -0.35
    13    7    5.00    -1.00    0.92
    13    8    5.00    0.00    1.22
    13    9    5.00    1.00    0.49
    13    10    5.00    2.00    -0.41
    13    11    5.00    3.00    -0.89
    13    12    5.00    4.00    -0.80
    13    13    5.00    5.00    -0.12
    13    14    5.00    6.00    0.77
    13    15    5.00    7.00    0.98
    14    1    6.00    -7.00    0.23
    14    2    6.00    -6.00    -0.14
    14    3    6.00    -5.00    -0.57
    14    4    6.00    -4.00    -0.68
    14    5    6.00    -3.00    -0.78
    14    6    6.00    -2.00    -0.66
    14    7    6.00    -1.00    0.49
    14    8    6.00    0.00    2.00
    14    9    6.00    1.00    1.76
    14    10    6.00    2.00    -0.48
    14    11    6.00    3.00    -2.02
    14    12    6.00    4.00    -1.03
    14    13    6.00    5.00    0.62
    14    14    6.00    6.00    0.38
    14    15    6.00    7.00    -0.89
    15    1    7.00    -7.00    0.01
    15    2    7.00    -6.00    -1.09
    15    3    7.00    -5.00    -0.48
    15    4    7.00    -4.00    0.75
    15    5    7.00    -3.00    0.33
    15    6    7.00    -2.00    -1.03
    15    7    7.00    -1.00    -0.58
    15    8    7.00    0.00    1.32
    15    9    7.00    1.00    1.41
    15    10    7.00    2.00    -0.75
    15    11    7.00    3.00    -1.63
    15    12    7.00    4.00    0.20
    15    13    7.00    5.00    1.39
    15    14    7.00    6.00    -0.26
    15    15    7.00    7.00    -1.75
