# i	j	x	y	z
1.00	1.00	-7.00	-7.00	-0.11
1.00	2.00	-7.00	-6.50	-0.44
1.00	3.00	-7.00	-6.00	-0.77
1.00	4.00	-7.00	-5.50	-0.33
1.00	5.00	-7.00	-5.00	0.11
1.00	6.00	-7.00	-4.50	0.74
1.00	7.00	-7.00	-4.00	1.36
1.00	8.00	-7.00	-3.50	1.01
1.00	9.00	-7.00	-3.00	0.65
1.00	10.00	-7.00	-2.50	-0.24
1.00	11.00	-7.00	-2.00	-1.14
1.00	12.00	-7.00	-1.50	-1.10
1.00	13.00	-7.00	-1.00	-1.07
1.00	14.00	-7.00	-0.50	-0.20
1.00	15.00	-7.00	0.00	0.68
1.00	16.00	-7.00	0.50	0.80
1.00	17.00	-7.00	1.00	0.92
1.00	18.00	-7.00	1.50	0.03
1.00	19.00	-7.00	2.00	-0.86
1.00	20.00	-7.00	2.50	-1.08
1.00	21.00	-7.00	3.00	-1.31
1.00	22.00	-7.00	3.50	-0.26
1.00	23.00	-7.00	4.00	0.80
1.00	24.00	-7.00	4.50	1.40
1.00	25.00	-7.00	5.00	1.99
1.00	26.00	-7.00	5.50	1.02
1.00	27.00	-7.00	6.00	0.05
1.00	28.00	-7.00	6.50	-0.91
1.00	29.00	-7.00	7.00	-1.87
2.00	1.00	-6.50	-7.00	-0.13
2.00	2.00	-6.50	-6.50	-0.05
2.00	3.00	-6.50	-6.00	0.03
2.00	4.00	-6.50	-5.50	0.37
2.00	5.00	-6.50	-5.00	0.71
2.00	6.00	-6.50	-4.50	0.99
2.00	7.00	-6.50	-4.00	1.29
2.00	8.00	-6.50	-3.50	0.86
2.00	9.00	-6.50	-3.00	0.44
2.00	10.00	-6.50	-2.50	-0.31
2.00	11.00	-6.50	-2.00	-1.07
2.00	12.00	-6.50	-1.50	-1.06
2.00	13.00	-6.50	-1.00	-1.05
2.00	14.00	-6.50	-0.50	-0.35
2.00	15.00	-6.50	0.00	0.34
2.00	16.00	-6.50	0.50	0.46
2.00	17.00	-6.50	1.00	0.58
2.00	18.00	-6.50	1.50	-0.13
2.00	19.00	-6.50	2.00	-0.84
2.00	20.00	-6.50	2.50	-1.00
2.00	21.00	-6.50	3.00	-1.16
2.00	22.00	-6.50	3.50	-0.17
2.00	23.00	-6.50	4.00	0.82
2.00	24.00	-6.50	4.50	1.53
2.00	25.00	-6.50	5.00	2.24
2.00	26.00	-6.50	5.50	1.47
2.00	27.00	-6.50	6.00	0.71
2.00	28.00	-6.50	6.50	-0.43
2.00	29.00	-6.50	7.00	-1.56
3.00	1.00	-6.00	-7.00	-0.15
3.00	2.00	-6.00	-6.50	0.34
3.00	3.00	-6.00	-6.00	0.84
3.00	4.00	-6.00	-5.50	1.07
3.00	5.00	-6.00	-5.00	1.30
3.00	6.00	-6.00	-4.50	1.25
3.00	7.00	-6.00	-4.00	1.21
3.00	8.00	-6.00	-3.50	0.72
3.00	9.00	-6.00	-3.00	0.23
3.00	10.00	-6.00	-2.50	-0.39
3.00	11.00	-6.00	-2.00	-1.00
3.00	12.00	-6.00	-1.50	-1.02
3.00	13.00	-6.00	-1.00	-1.03
3.00	14.00	-6.00	-0.50	-0.52
3.00	15.00	-6.00	0.00	0.00
3.00	16.00	-6.00	0.50	0.12
3.00	17.00	-6.00	1.00	0.23
3.00	18.00	-6.00	1.50	-0.29
3.00	19.00	-6.00	2.00	-0.82
3.00	20.00	-6.00	2.50	-0.92
3.00	21.00	-6.00	3.00	-1.01
3.00	22.00	-6.00	3.50	-0.08
3.00	23.00	-6.00	4.00	0.85
3.00	24.00	-6.00	4.50	1.67
3.00	25.00	-6.00	5.00	2.49
3.00	26.00	-6.00	5.50	1.93
3.00	27.00	-6.00	6.00	1.36
3.00	28.00	-6.00	6.50	0.05
3.00	29.00	-6.00	7.00	-1.26
4.00	1.00	-5.50	-7.00	0.19
4.00	2.00	-5.50	-6.50	0.59
4.00	3.00	-5.50	-6.00	0.99
4.00	4.00	-5.50	-5.50	0.99
4.00	5.00	-5.50	-5.00	0.99
4.00	6.00	-5.50	-4.50	0.67
4.00	7.00	-5.50	-4.00	0.35
4.00	8.00	-5.50	-3.50	-0.04
4.00	9.00	-5.50	-3.00	-0.43
4.00	10.00	-5.50	-2.50	-0.57
4.00	11.00	-5.50	-2.00	-0.71
4.00	12.00	-5.50	-1.50	-0.47
4.00	13.00	-5.50	-1.00	-0.22
4.00	14.00	-5.50	-0.50	0.09
4.00	15.00	-5.50	0.00	0.39
4.00	16.00	-5.50	0.50	0.30
4.00	17.00	-5.50	1.00	0.20
4.00	18.00	-5.50	1.50	-0.22
4.00	19.00	-5.50	2.00	-0.65
4.00	20.00	-5.50	2.50	-0.75
4.00	21.00	-5.50	3.00	-0.84
4.00	22.00	-5.50	3.50	-0.31
4.00	23.00	-5.50	4.00	0.23
4.00	24.00	-5.50	4.50	0.81
4.00	25.00	-5.50	5.00	1.39
4.00	26.00	-5.50	5.50	1.28
4.00	27.00	-5.50	6.00	1.17
4.00	28.00	-5.50	6.50	0.49
4.00	29.00	-5.50	7.00	-0.18
5.00	1.00	-5.00	-7.00	0.53
5.00	2.00	-5.00	-6.50	0.84
5.00	3.00	-5.00	-6.00	1.15
5.00	4.00	-5.00	-5.50	0.92
5.00	5.00	-5.00	-5.00	0.68
5.00	6.00	-5.00	-4.50	0.09
5.00	7.00	-5.00	-4.00	-0.51
5.00	8.00	-5.00	-3.50	-0.80
5.00	9.00	-5.00	-3.00	-1.09
5.00	10.00	-5.00	-2.50	-0.76
5.00	11.00	-5.00	-2.00	-0.42
5.00	12.00	-5.00	-1.50	0.08
5.00	13.00	-5.00	-1.00	0.59
5.00	14.00	-5.00	-0.50	0.69
5.00	15.00	-5.00	0.00	0.78
5.00	16.00	-5.00	0.50	0.48
5.00	17.00	-5.00	1.00	0.17
5.00	18.00	-5.00	1.50	-0.15
5.00	19.00	-5.00	2.00	-0.48
5.00	20.00	-5.00	2.50	-0.58
5.00	21.00	-5.00	3.00	-0.68
5.00	22.00	-5.00	3.50	-0.54
5.00	23.00	-5.00	4.00	-0.39
5.00	24.00	-5.00	4.50	-0.05
5.00	25.00	-5.00	5.00	0.29
5.00	26.00	-5.00	5.50	0.64
5.00	27.00	-5.00	6.00	0.98
5.00	28.00	-5.00	6.50	0.94
5.00	29.00	-5.00	7.00	0.90
6.00	1.00	-4.50	-7.00	0.34
6.00	2.00	-4.50	-6.50	0.46
